_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
oHJqKk7mnHQXxo6bR,0,selection,Selection,2021-05-04T21:46:00Z,180,7hkQitvpzWzLYmqsQ,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-05-04T21:46:00.154Z""}"
Pn38JXdLSF3jWmBR3,1,feedback,Feedback,2021-05-04T21:48:10Z,5,7hkQitvpzWzLYmqsQ,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-05-04T21:48:10.092Z""}"
c2iyJTYwsrXsGAGfL,2,selection,Selection,2021-05-04T21:48:15Z,180,tywCoAdX8FZS6pxkb,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-05-04T21:48:15.665Z""}"
LXoXMwkLzxoyR3Pfk,3,feedback,Feedback,2021-05-04T21:50:50Z,5,tywCoAdX8FZS6pxkb,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-05-04T21:50:49.862Z""}"
bgbHF6LzEcRQFDB7n,4,selection,Selection,2021-05-04T21:50:55Z,180,d2CkQZTeKNYMks2rj,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-05-04T21:50:55.713Z""}"
nSLgSCSLbdgfmdQGn,5,feedback,Feedback,2021-05-04T21:53:25Z,5,d2CkQZTeKNYMks2rj,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-05-04T21:53:24.749Z""}"
PWKAaTG7xJeF4xc9E,6,selection,Selection,2021-05-04T21:53:31Z,180,wvNeRNnimGQ5QqZT5,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-05-04T21:53:30.752Z""}"
CqhHT5SxXqb3DmRjm,7,feedback,Feedback,2021-05-04T21:54:47Z,5,wvNeRNnimGQ5QqZT5,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-05-04T21:54:47.539Z""}"
s9mfvyrLXmqNJLgh3,8,selection,Selection,2021-05-04T21:54:54Z,180,ZND2Z6M7fm8mjgBxL,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-05-04T21:54:53.757Z""}"
9YwuPnnc5CZ8iRh7j,9,feedback,Feedback,2021-05-04T21:57:13Z,5,ZND2Z6M7fm8mjgBxL,3WzEi9zkHF77vdTw5,2021-05-04T21:45:59Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-05-04T21:57:13.329Z""}"
