_id,name,value,factorTypeId,createdAt
L7K5DZ4qrCT4jSHxx,true,true,PbMKWFHGq7qHwK6NL,2022-03-30T19:59:19Z
hS9RswhoNeGgr2gQw,false,false,PbMKWFHGq7qHwK6NL,2022-03-30T19:59:19Z
xWQjpcmpuWmZXGA7P,Triad,3,ZEfhsNBKfbQ6TGekv,2022-03-30T19:59:19Z
xWQjpcmpuWmZXGA7Q,Pair,2,ZEfhsNBKfbQ6TGekv,2022-03-30T19:59:19Z
xWQjpcmpuWmZXGA7R,Quad,4,ZEfhsNBKfbQ6TGekv,2022-03-30T19:59:19Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2022-03-30T19:59:19Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2022-03-30T19:59:19Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2022-03-30T19:59:19Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2022-03-30T19:59:19Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2022-03-30T19:59:19Z
STrYPy3iToz6XDo9d,May4,63E387C3,oTmtc6KmQb77CaDTC,2022-03-30T19:59:19Z
sBHdPCoi8dkEsTPef,6,6,ZEfhsNBKfbQ6TGekv,2022-03-30T19:59:58Z
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2022-07-13T19:16:33Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2022-07-13T19:16:33Z
6MrFJYnfziMgRMbZq,lots,200,kJddTH8X4Y6Df7SPA,2022-07-13T19:16:33Z
hsiunZ8b68hKxbnPM,Two,2,b5miCkhM6uwYKF2Sn,2022-07-13T19:16:33Z
8s4mWKpqFF83FP3X6,test,LCX2Y5GM,oTmtc6KmQb77CaDTC,2022-07-13T19:16:33Z
n6akL2KMtAmNNT2MS,All,6,ZkXeabrJhX4KfX8yj,2022-07-13T19:16:33Z
wsDuqNzmgXecXtHLR,Pair,6,b5miCkhM6uwYKF2Sn,2022-07-13T19:16:33Z
LMzjqBSyMLbrryc6X,Test,TEST,oTmtc6KmQb77CaDTC,2022-07-13T19:16:33Z
Pcrt2kDc8zeyzPkSF,Five,5,ZEfhsNBKfbQ6TGekv,2022-07-13T19:16:33Z
owZenExB498es2QBn,limited,limited,ckLfENK7MBJFvZcvw,2022-07-13T19:16:33Z
gjMzeXEASNnNzEGyz,full,full,ckLfENK7MBJFvZcvw,2022-07-13T19:16:33Z
6oMpybFsCSGAGstWB,limited,limited,SBokuiYg3qFErBaAH,2022-08-10T16:22:31Z
