_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
nHMBvcdH3jfB6thZe,KDECwB9Cikjj7ZsE9,cA2SjWv3CePYZgyzS,2021-05-04T22:35:53Z,26,Male,English,,true,,,,,someCollege,yes,yes,stronglyAgree,Yes,Yes,No,Yes
o5hZDxBNNqeyBoTFe,HqyHHokWZEzaNafoJ,cA2SjWv3CePYZgyzS,2021-05-04T22:36:00Z,21,Male,English,,true,,,,,bachelor,yes,yes,agree,yes,yes,no,yes
2xQipzbyq3aCtNdP8,HdKK2ktAX4RmvJwZk,cA2SjWv3CePYZgyzS,2021-05-04T22:36:15Z,18,female,English ,true,,true,,,true,highSchool,yes,yes,stronglyAgree,yes ,yes ,no,yes 
QsDRYouwkjomGymHL,tu7h5gBhgzwA6ttCD,cA2SjWv3CePYZgyzS,2021-05-04T22:36:36Z,30,male,english,true,,,,,,someCollege,yes,yes,agree,"Yes, it was enjoyable.","It was pretty fun to do, easy and once you get the hang of it not a problem at all.",None..,Plenty.
LnkeyW6kKmLFfrKHj,PzsrjpFbCRkuAMq8B,rSMFkjhskBteiyQMB,2021-05-04T22:36:49Z,28,male,English,true,,,,,,highSchool,yes,yes,stronglyAgree,"At the start, no. Towards the end as it sped up and I noticed the time would not run over by too much, yes it was okay.",yes ,no,yes
YbSXHYfYWc4bx7fkP,ZGADNAezcCdtejsh5,rSMFkjhskBteiyQMB,2021-05-04T22:37:05Z,19,Female,English,true,,true,,,,highSchool,yes,yes,stronglyAgree,Yes,Yes,No,Yes
NmMwHefafDwBtSvNE,ZvhRyXkvKz6ES5HwX,rSMFkjhskBteiyQMB,2021-05-04T22:37:08Z,23,male,english,,,true,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes
eH9QWwpfJffiQuFwS,o7s7B6kZLqvaG62N4,rSMFkjhskBteiyQMB,2021-05-04T22:39:24Z,26,F,"Urdu (I am fluent in it, reading and speaking), English is my first language though",,,true,,,,bachelor,yes,yes,agree,"i think so. Honestly, I don't really care much about the pay, it was just fun to do. But it seems good enough.",quite easy.,"not at all. The only thing i did notice is that occasionally, as speaker, it seemed that 2/3 participants correctly selected the icon, but I'd have the icon of all 3 participants on the image.\nAlso, one of the participants (purple icon) was weird. Like, they would suggest something different from what everyone else was, Eg ""mouse"" for an image everyone had been using ""wings"" to refer to. where did mouse come from?? that one might have been a plant, but I'm unsure since - when i was a speaker - that participant got my clue about ""wings"" wrong. Don't know why they didn't ask if they were unsure though, might have just missed it.",yup.
CSS9uJWgfrhaXtC4p,hv4nKRCaDiRgPQjY4,3WzEi9zkHF77vdTw5,2021-05-04T23:04:47Z,25,Female,English,true,,,,,,master,yes,yes,agree,Yes thanks,Yes,,Yes definitely
BrC35HeNSJk4RPWqL,ieBYKaxXNCy2QcwJj,3WzEi9zkHF77vdTw5,2021-05-04T23:04:50Z,19,female,english,,,true,,,,highSchool,yes,yes,agree,it was fair ,yes,no,yes
zZdu3YFuN8yop9N4s,wXsGgzkQgoofFhxwk,3WzEi9zkHF77vdTw5,2021-05-04T23:05:04Z,19,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes very,"no,  but i enjoyed getting to work as a team and getting to know the other participants ",yes
qwwzoEZvrsEMLoYa8,qZYMtuyj2SBfZk8XH,3WzEi9zkHF77vdTw5,2021-05-04T23:05:28Z,19,female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,very,please for love of all that is holy make this a real game that I can play with my friends.,yes
SFm4AqZFSK3rn7wMm,FzbGtMkbEZkg6xLHp,BXWWg9XvCErxTpT9k,2021-05-04T23:35:02Z,43,Agender,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Yes,I would have preferred to use Firefox. It was fun though. Thanks.,Yes
